Attribution Method,Group,Ensemble,Attribution Unchanged,Attribution Changed,Attribution Unchanged (Random),Attribution Changed (Random)
Euclidean Distance,MNIST,MNIST_TRJ_324,4,1020,443,581
Euclidean Distance,MNIST,MNIST_TRJ_361,9,1015,440,584
Euclidean Distance,MNIST,MNIST_TRJ_400,6,1018,454,570
Euclidean Distance,MNIST,MNIST_TRJ_441,10,1014,467,557
Euclidean Distance,MNIST,MNIST_TRJ_484,14,1010,464,560
Euclidean Distance,MNIST,MNIST_TRJ_529,11,1013,444,580
Euclidean Distance,MNIST,MNIST_TRJ_576,10,1014,474,550
Euclidean Distance,MNIST,MNIST_TRJ_625,10,1014,454,570
Euclidean Distance,MNIST,MNIST_TRJ_676,24,1000,480,544
Euclidean Distance,MNIST,MNIST_TRJ_729,22,1002,487,537
Euclidean Distance,MNIST,MNIST_TRJ_784,27,997,491,533
Euclidean Distance,MNIST,MNIST_TRJ_841,37,987,461,563
Euclidean Distance,MNIST,MNIST_TRJ_900,46,978,527,497
Euclidean Distance,MNIST,MNIST_TRJ_961,44,980,500,524
Euclidean Distance,MNIST,MNIST_TRJ_1024,64,960,530,494
Euclidean Distance,MNIST,MNIST_TRJ_1089,78,946,506,518
Euclidean Distance,MNIST,MNIST_TRJ_1156,83,941,514,510
Euclidean Distance,MNIST,MNIST_TRJ_1225,84,940,547,477
Euclidean Distance,MNIST,MNIST_TRJ_1296,102,922,542,482
Euclidean Distance,MNIST,MNIST_TRJ_1369,130,894,544,480
Euclidean Distance,MNIST,MNIST_TRJ_1444,125,899,550,474
Euclidean Distance,MNIST,MNIST_TRJ_1521,182,842,562,462
Euclidean Distance,MNIST,MNIST_TRJ_1600,193,831,588,436
Euclidean Distance,MNIST,MNIST_TRJ_1681,218,806,590,434
Euclidean Distance,MNIST,MNIST_TRJ_1764,239,785,592,432
Euclidean Distance,MNIST,MNIST_TRJ_1849,260,764,602,422
Euclidean Distance,MNIST,MNIST_TRJ_1936,286,738,609,415
Euclidean Distance,MNIST,MNIST_TRJ_2025,325,699,633,391
Euclidean Distance,MNIST,MNIST_TRJ_2116,342,682,627,397
Euclidean Distance,MNIST,MNIST_TRJ_2209,383,641,628,396
Euclidean Distance,MNIST,MNIST_TRJ_2304,414,610,652,372
Euclidean Distance,MNIST,MNIST_TRJ_2401,429,595,634,390
Euclidean Distance,MNIST,MNIST_TRJ_2500,437,587,653,371
Euclidean Distance,MNIST,MNIST_TRJ_2601,480,544,674,350
Euclidean Distance,MNIST,MNIST_TRJ_2704,474,550,651,373
Euclidean Distance,MNIST,MNIST_TRJ_2809,492,532,665,359
Euclidean Distance,MNIST,MNIST_TRJ_2916,522,502,672,352
Euclidean Distance,MNIST,MNIST_TRJ_3025,526,498,674,350
Euclidean Distance,MNIST,MNIST_TRJ_3136,515,509,679,345
Euclidean Distance,MNIST,MNIST_TRJ_3249,542,482,662,362
Euclidean Distance,MNIST,MNIST_TRJ_3364,543,481,684,340
Euclidean Distance,MNIST,MNIST_TRJ_3481,522,502,629,395
Euclidean Distance,MNIST,MNIST_TRJ_3600,574,450,687,337
Euclidean Distance,MNIST,MNIST_TRJ_3721,559,465,667,357
Euclidean Distance,MNIST,MNIST_TRJ_3844,587,437,663,361
Euclidean Distance,MNIST,MNIST_TRJ_3969,580,444,658,366
Euclidean Distance,MNIST,MNIST_TRJ_4096,576,448,651,373
Euclidean Distance,MNIST,MNIST_TRJ_4225,597,427,671,353
Euclidean Distance,MNIST,MNIST_TRJ_4356,594,430,672,352
Euclidean Distance,MNIST,MNIST_TRJ_4489,580,444,678,346
Euclidean Distance,MNIST,MNIST_TRJ_4624,617,407,684,340
Euclidean Distance,MNIST,MNIST_TRJ_4761,594,430,698,326
Euclidean Distance,MNIST,MNIST_TRJ_4900,646,378,698,326
Euclidean Distance,MNIST,MNIST_TRJ_5041,631,393,686,338
Euclidean Distance,MNIST,MNIST_TRJ_5184,653,371,711,313
Euclidean Distance,MNIST,MNIST_TRJ_5329,636,388,663,361
Euclidean Distance,MNIST,MNIST_TRJ_5476,646,378,701,323
Euclidean Distance,MNIST,MNIST_TRJ_5625,638,386,658,366
Euclidean Distance,MNIST,MNIST_TRJ_5776,633,391,686,338
Euclidean Distance,MNIST,MNIST_TRJ_5929,644,380,681,343
Euclidean Distance,MNIST,MNIST_TRJ_6084,647,377,691,333
Euclidean Distance,MNIST,MNIST_TRJ_6241,646,378,692,332
Euclidean Distance,FASHION,FASHION_TRJ_324,20,1004,457,567
